Facility ID,Facility Name,City,State,ZIP Code,County Name,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Patient experience national comparison,Mortality national comparison
100064,Hospital 64,City 64,PA,10064,County 14,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Above the national average,Not Available,Same as the national average
100065,Hospital 65,City 65,IL,10065,County 15,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Below the national average
100066,Hospital 66,City 66,OH,10066,County 16,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Below the national average
100067,Hospital 67,City 67,NC,10067,County 17,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Below the national average,Not Available,Below the national average
100068,Hospital 68,City 68,NC,10068,County 18,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Not Available,Not Available,Same as the national average
100069,Hospital 69,City 69,MI,10069,County 19,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Below the national average,Below the national average
100070,Hospital 70,City 70,FL,10070,County 20,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Not Available,Not Available
100071,Hospital 71,City 71,GA,10071,County 21,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Same as the national average,Above the national average
100072,Hospital 72,City 72,IL,10072,County 22,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Same as the national average,Below the national average,Same as the national average
100073,Hospital 73,City 73,FL,10073,County 23,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Same as the national average,Not Available
100074,Hospital 74,City 74,MI,10074,County 24,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Same as the national average,Not Available
100075,Hospital 75,City 75,GA,10075,County 25,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Above the national average,Above the national average
100076,Hospital 76,City 76,OH,10076,County 26,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Not Available,Above the national average,Same as the national average
100077,Hospital 77,City 77,CA,10077,County 27,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Below the national average,Not Available
100078,Hospital 78,City 78,MI,10078,County 28,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Same as the national average,Not Available
100079,Hospital 79,City 79,GA,10079,County 29,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Not Available,Same as the national average
100080,Hospital 80,City 80,IL,10080,County 30,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Below the national average,Same as the national average,Below the national average
100081,Hospital 81,City 81,PA,10081,County 31,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Above the national average,Same as the national average,Same as the national average
100082,Hospital 82,City 82,FL,10082,County 32,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Above the national average,Not Available
100083,Hospital 83,City 83,OH,10083,County 33,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Not Available,Above the national average
100084,Hospital 84,City 84,FL,10084,County 34,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Not Available,Not Available
100085,Hospital 85,City 85,NY,10085,County 35,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Not Available,Same as the national average
100086,Hospital 86,City 86,GA,10086,County 36,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Above the national average
100087,Hospital 87,City 87,OH,10087,County 37,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Not Available,Same as the national average
100088,Hospital 88,City 88,MI,10088,County 38,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Not Available
100089,Hospital 89,City 89,TX,10089,County 39,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Below the national average,Not Available
100090,Hospital 90,City 90,PA,10090,County 40,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Below the national average,Not Available
100091,Hospital 91,City 91,IL,10091,County 41,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Not Available,Above the national average
100092,Hospital 92,City 92,NC,10092,County 42,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average
100093,Hospital 93,City 93,NY,10093,County 43,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Same as the national average
100094,Hospital 94,City 94,TX,10094,County 44,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Same as the national average,Not Available,Below the national average
100095,Hospital 95,City 95,PA,10095,County 45,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Same as the national average,Below the national average
100096,Hospital 96,City 96,CA,10096,County 46,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Same as the national average
100097,Hospital 97,City 97,CA,10097,County 47,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Above the national average,Above the national average
100098,Hospital 98,City 98,PA,10098,County 48,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Below the national average,Above the national average
100099,Hospital 99,City 99,OH,10099,County 49,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Not Available,Below the national average,Not Available
100100,Hospital 100,City 0,TX,10100,County 0,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Not Available,Not Available
100101,Hospital 101,City 1,OH,10101,County 1,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Above the national average,Below the national average
100102,Hospital 102,City 2,GA,10102,County 2,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Below the national average,Above the national average
100103,Hospital 103,City 3,GA,10103,County 3,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Same as the national average,Below the national average
100104,Hospital 104,City 4,IL,10104,County 4,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Below the national average,Above the national average,Same as the national average
100105,Hospital 105,City 5,CA,10105,County 5,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Same as the national average,Not Available
100106,Hospital 106,City 6,GA,10106,County 6,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Above the national average,Below the national average,Same as the national average
100107,Hospital 107,City 7,OH,10107,County 7,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Not Available,Below the national average
100108,Hospital 108,City 8,OH,10108,County 8,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Below the national average,Below the national average
100109,Hospital 109,City 9,IL,10109,County 9,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Above the national average
100110,Hospital 110,City 10,NC,10110,County 10,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Below the national average
100111,Hospital 111,City 11,MI,10111,County 11,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Same as the national average,Below the national average,Same as the national average
100112,Hospital 112,City 12,PA,10112,County 12,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average
100113,Hospital 113,City 13,NY,10113,County 13,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Same as the national average,Not Available
100114,Hospital 114,City 14,CA,10114,County 14,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Not Available,Not Available
100115,Hospital 115,City 15,GA,10115,County 15,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Below the national average,Not Available
100116,Hospital 116,City 16,CA,10116,County 16,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Above the national average,Above the national average
100117,Hospital 117,City 17,TX,10117,County 17,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Above the national average,Same as the national average
100118,Hospital 118,City 18,CA,10118,County 18,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Same as the national average,Not Available,Not Available
100119,Hospital 119,City 19,GA,10119,County 19,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Below the national average,Above the national average
100120,Hospital 120,City 20,MI,10120,County 20,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Above the national average
100121,Hospital 121,City 21,TX,10121,County 21,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Above the national average
100122,Hospital 122,City 22,OH,10122,County 22,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Below the national average,Above the national average
100123,Hospital 123,City 23,FL,10123,County 23,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Above the national average,Same as the national average
100124,Hospital 124,City 24,IL,10124,County 24,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Same as the national average
100125,Hospital 125,City 25,IL,10125,County 25,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Same as the national average,Below the national average
100126,Hospital 126,City 26,MI,10126,County 26,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Not Available,Below the national average
100127,Hospital 127,City 27,OH,10127,County 27,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Not Available,Above the national average
100128,Hospital 128,City 28,MI,10128,County 28,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Below the national average,Above the national average
100129,Hospital 129,City 29,CA,10129,County 29,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Below the national average,Above the national average
100130,Hospital 130,City 30,TX,10130,County 30,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Below the national average,Same as the national average
100131,Hospital 131,City 31,MI,10131,County 31,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Not Available,Below the national average
100132,Hospital 132,City 32,OH,10132,County 32,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Same as the national average,Below the national average
100133,Hospital 133,City 33,OH,10133,County 33,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Above the national average,Not Available
100134,Hospital 134,City 34,CA,10134,County 34,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Below the national average,Above the national average,Not Available
100135,Hospital 135,City 35,NC,10135,County 35,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Not Available,Above the national average
100136,Hospital 136,City 36,FL,10136,County 36,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Not Available,Above the national average
100137,Hospital 137,City 37,FL,10137,County 37,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Same as the national average,Below the national average,Not Available
100138,Hospital 138,City 38,GA,10138,County 38,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Same as the national average,Below the national average
100139,Hospital 139,City 39,NC,10139,County 39,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Above the national average,Same as the national average
100140,Hospital 140,City 40,CA,10140,County 40,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Same as the national average,Not Available,Below the national average
100141,Hospital 141,City 41,NC,10141,County 41,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Not Available,Not Available,Same as the national average
100142,Hospital 142,City 42,GA,10142,County 42,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average
100143,Hospital 143,City 43,IL,10143,County 43,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Below the national average,Above the national average,Below the national average
100144,Hospital 144,City 44,IL,10144,County 44,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Not Available,Below the national average
100145,Hospital 145,City 45,PA,10145,County 45,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Below the national average,Same as the national average,Same as the national average
100146,Hospital 146,City 46,MI,10146,County 46,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Above the national average,Below the national average
100147,Hospital 147,City 47,GA,10147,County 47,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Not Available,Above the national average
100148,Hospital 148,City 48,TX,10148,County 48,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Not Available,Above the national average,Not Available
100149,Hospital 149,City 49,NY,10149,County 49,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Not Available
100150,Hospital 150,City 50,IL,10150,County 0,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Above the national average,Below the national average
100151,Hospital 151,City 51,NC,10151,County 1,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Above the national average,Above the national average
100152,Hospital 152,City 52,FL,10152,County 2,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Not Available,Above the national average
100153,Hospital 153,City 53,CA,10153,County 3,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Above the national average,Above the national average
100154,Hospital 154,City 54,PA,10154,County 4,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Not Available
100155,Hospital 155,City 55,TX,10155,County 5,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Same as the national average,Same as the national average
100156,Hospital 156,City 56,TX,10156,County 6,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Same as the national average,Not Available
100157,Hospital 157,City 57,MI,10157,County 7,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Not Available,Below the national average,Not Available
100158,Hospital 158,City 58,IL,10158,County 8,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Same as the national average,Above the national average
100159,Hospital 159,City 59,GA,10159,County 9,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Not Available,Below the national average
100160,Hospital 160,City 60,GA,10160,County 10,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Not Available,Above the national average
100161,Hospital 161,City 61,FL,10161,County 11,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Below the national average,Below the national average
100162,Hospital 162,City 62,NY,10162,County 12,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Above the national average,Not Available
100163,Hospital 163,City 63,IL,10163,County 13,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Same as the national average,Same as the national average
100164,Hospital 164,City 64,MI,10164,County 14,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Above the national average,Below the national average
100165,Hospital 165,City 65,GA,10165,County 15,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Same as the national average,Above the national average
100166,Hospital 166,City 66,IL,10166,County 16,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Same as the national average,Same as the national average
100167,Hospital 167,City 67,NC,10167,County 17,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Same as the national average,Below the national average
100168,Hospital 168,City 68,GA,10168,County 18,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Not Available,Above the national average
100169,Hospital 169,City 69,TX,10169,County 19,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Not Available
100170,Hospital 170,City 70,NY,10170,County 20,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Above the national average,Not Available,Below the national average
100171,Hospital 171,City 71,IL,10171,County 21,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Same as the national average,Not Available
100172,Hospital 172,City 72,NY,10172,County 22,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Same as the national average,Above the national average,Not Available
100173,Hospital 173,City 73,IL,10173,County 23,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Same as the national average,Above the national average,Above the national average
100174,Hospital 174,City 74,IL,10174,County 24,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Above the national average,Same as the national average,Same as the national average
100175,Hospital 175,City 75,OH,10175,County 25,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Same as the national average,Not Available
100176,Hospital 176,City 76,CA,10176,County 26,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Below the national average,Above the national average
100177,Hospital 177,City 77,PA,10177,County 27,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Same as the national average,Below the national average
100178,Hospital 178,City 78,CA,10178,County 28,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Above the national average,Not Available
100179,Hospital 179,City 79,IL,10179,County 29,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Not Available,Above the national average,Same as the national average
100180,Hospital 180,City 80,MI,10180,County 30,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Same as the national average,Same as the national average
100181,Hospital 181,City 81,MI,10181,County 31,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Same as the national average,Same as the national average
100182,Hospital 182,City 82,PA,10182,County 32,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Below the national average,Same as the national average
100183,Hospital 183,City 83,TX,10183,County 33,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Above the national average,Same as the national average
100184,Hospital 184,City 84,NY,10184,County 34,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Above the national average,Same as the national average
100185,Hospital 185,City 85,IL,10185,County 35,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Not Available,Above the national average,Above the national average
100186,Hospital 186,City 86,GA,10186,County 36,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Not Available,Same as the national average
100187,Hospital 187,City 87,MI,10187,County 37,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Not Available,Above the national average
100188,Hospital 188,City 88,NY,10188,County 38,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Not Available,Above the national average,Not Available
100189,Hospital 189,City 89,GA,10189,County 39,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Same as the national average,Above the national average
100190,Hospital 190,City 90,TX,10190,County 40,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Not Available,Below the national average
100191,Hospital 191,City 91,GA,10191,County 41,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Above the national average,Same as the national average,Not Available
100192,Hospital 192,City 92,GA,10192,County 42,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Not Available,Not Available
100193,Hospital 193,City 93,OH,10193,County 43,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Below the national average,Below the national average
100194,Hospital 194,City 94,PA,10194,County 44,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Above the national average
